chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,156074,0,0,0,0,0,2,2.1,2.6,6,Rob,6.0,16,False,,,45,156074.jpg,6.0,Holding,2.0,False,,a,1,3,6,42471,42471,12677,12677,1.3,1.3,Holding,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,53,25,146,37,246,109,130,42,,,,,,
,,192895,0,0,0,0,0,2,3.0,3.5,6,Kieran,6.0,17,False,,,55,192895.jpg,6.0,Tierney,12.1,False,,a,1,3,6,34499,34499,31912,31912,1.1,1.1,Tierney,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,107,52,122,29,122,36,157,56,,,,,,
,,195735,-1,1,-1,1,0,3,3.2,3.7,1,Nicolas,1.0,18,False,,,79,195735.jpg,1.0,Pépé,1.8,False,,a,1,3,1,1643,1643,33246,33246,0.1,0.1,Pépé,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,193,92,48,32,90,46,127,62,1.0,,3.0,,2.0,
,,198849,0,0,0,0,0,3,1.9,2.4,0,Lucas,0.0,19,False,,,50,198849.jpg,0.0,Torreira,0.2,False,,a,1,3,0,561,561,2954,2954,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,404,152,403,153,376,129,409,153,5.0,,,,,
,,200089,0,0,0,0,0,3,1.9,2.4,0,Joseph,0.0,20,False,,,50,200089.jpg,0.0,Willock,0.1,False,,a,1,3,0,179,179,1179,1179,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,407,153,406,154,379,130,412,154,,,,,,
,,200641,0,0,0,0,0,3,2.3,2.8,0,Reiss,0.0,21,False,,,55,200641.jpg,0.0,Nelson,0.1,False,,a,1,3,0,158,158,957,957,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461,177,464,179,452,169,464,178,6.0,,,,,
,,205533,0,0,0,0,0,4,2.3,2.8,1,Edward,1.0,22,False,,,60,205533.jpg,1.0,Nketiah,1.5,False,,a,1,3,1,2279,2279,22405,22405,0.2,0.2,Nketiah,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,494,54,496,55,490,56,497,56,,,,,,
0.0,0.0,209289,0,0,0,0,0,3,0.0,0.0,0,Emile,0.0,23,False,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,209289.jpg,0.0,Smith Rowe,0.2,False,,i,1,3,0,204,204,2985,2985,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,326,115,318,117,271,82,333,118,,,,,,
,,223340,0,0,0,0,0,3,2.3,2.8,0,Bukayo,0.0,24,False,,,55,223340.jpg,0.0,Saka,6.5,False,,a,1,3,0,4747,4747,96847,96847,0.0,0.0,Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,179,468,181,456,171,468,180,3.0,,,,,
,,242166,0,0,0,0,0,3,1.9,2.4,0,Matteo,0.0,25,False,,,50,242166.jpg,0.0,Guendouzi,0.2,False,,a,1,3,0,414,414,2211,2211,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,416,158,416,159,392,138,421,159,,,,,,
0.0,0.0,444145,0,0,0,0,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,1,3,0,148,148,565,565,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,418,159,418,160,395,140,423,160,,,,,,
,,462424,-1,1,-1,1,0,2,2.0,2.5,0,William,0.0,27,False,,,44,462424.jpg,0.0,Saliba,2.8,False,,a,1,3,0,2258,2258,49207,49207,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,240,88,229,87,166,63,248,88,,,,,,
,,47431,1,-1,1,-1,1,3,3.3,3.8,14,Willian,14.0,478,True,,,81,47431.jpg,14.0,Borges Da Silva,13.9,False,,a,1,3,14,269512,269512,30735,30735,1.7,1.7,Willian,74,0,3,1,0,0,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,19,7,10,8,16,6,5,3,2.0,,1.0,,,
,,226597,0,0,0,0,1,2,2.6,3.1,15,Gabriel,15.0,494,True,,,50,226597.jpg,15.0,Magalhães,7.7,False,,a,1,3,15,250216,250216,20805,20805,3.0,3.0,Gabriel,90,1,0,1,0,0,0,0,0,0,0,3,37,51.8,0.3,33.0,8.5,9,4,182,60,27,6,20,4,,,,,,
,,182539,0,0,0,0,0,3,1.9,2.4,1,Daniel,1.0,501,False,,,50,182539.jpg,1.0,Ceballos Fernández,1.9,False,,a,1,3,1,7824,7824,16069,16069,0.2,0.2,Ceballos,12,0,0,0,0,0,0,0,0,0,0,0,6,5.2,1.3,4.0,1.1,160,67,141,87,100,52,177,82,,,,,,
,,153256,0,0,0,0,0,3,1.5,2.0,3,Mohamed Naser,3.0,526,False,,,45,153256.jpg,3.0,El Sayed Elneny,1.0,False,,a,1,3,3,46415,46415,10320,10320,0.7,0.7,Elneny,90,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.8,18.0,3.2,119,44,102,63,55,28,88,42,,,,,,
,,113534,0,0,0,0,0,1,1.5,2.0,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,0.2,False,,a,1,3,0,3765,3765,734,734,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,221,25,210,9,144,9,229,25,,,,,,
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,28,False,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,i,2,7,0,129,129,316,316,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,247,31,236,15,173,15,255,31,,,,,,
,,37339,0,0,0,0,0,2,1.1,0.0,0,Ahmed,0.0,29,False,,,45,37339.jpg,0.0,El Mohamady,0.5,False,,a,2,7,0,1374,1374,1964,1964,0.0,0.0,El Mohamady,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,250,92,239,91,176,67,258,92,,,,,,
