chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,76359,0,0,0,0,0,2,0.0,,0,Phil,0.0,297,False,,,50.9,76359.jpg,1.0,Jones,0.1,False,,a,13,1,2,0,0,0,0,0.0,0.4,Jones,135,0,0,0,3,0,0,0,0,0,0,0,22,21.4,3.0,23.0,4.7,356.0,130.0,345.0,129.0,308.0,112.0,357.0,127.0
,,95658,0,0,0,0,0,2,0.0,,0,Harry,0.0,298,False,,,55.599999999999994,95658.jpg,3.2,Maguire,3.7,False,,a,13,1,123,0,0,0,0,0.0,22.4,Maguire,3420,1,0,13,36,0,0,0,6,0,0,5,681,772.0,214.6,371.0,136.2,32.0,8.0,162.0,35.0,90.0,11.0,75.0,12.0
,,101582,0,0,0,0,0,3,0.0,,0,Frederico,0.0,299,False,,,55.89999999999999,101582.jpg,1.7,Rodrigues de Paula Santos,0.2,False,,a,13,1,50,0,0,0,0,0.0,9.1,Fred,2157,0,0,6,26,0,0,0,8,0,0,0,358,430.6,542.7,260.0,123.5,149.0,58.0,41.0,33.0,134.0,79.0,93.0,55.0
,,106760,0,0,0,0,0,2,0.0,,0,Luke,0.0,300,False,,,50.800000000000004,106760.jpg,2.8,Shaw,1.3,False,,a,13,1,67,0,0,0,0,0.0,13.4,Shaw,1730,0,0,8,15,0,0,0,7,0,0,2,381,344.2,321.2,187.0,85.1,185.0,69.0,114.0,25.0,178.0,38.0,164.0,45.0
,,109322,0,0,0,0,0,3,0.0,,0,Jesse,0.0,301,False,,,60.599999999999994,109322.jpg,1.5,Lingard,0.2,False,,a,13,1,32,0,0,0,0,0.0,5.3,Lingard,923,1,0,1,14,0,0,0,3,0,0,0,99,109.0,278.2,297.0,68.2,311.0,133.0,130.0,86.0,117.0,65.0,207.0,103.0
,,141746,0,0,0,0,0,3,0.0,,0,Bruno Miguel,0.0,302,False,,,105.39999999999999,141746.jpg,8.4,Borges Fernandes,23.4,False,,a,13,1,117,0,0,0,0,0.0,11.1,Fernandes,1187,8,8,9,6,0,0,0,2,0,0,18,366,551.8,479.3,361.0,139.2,94.0,30.0,55.0,43.0,93.0,50.0,72.0,42.0
,,148225,0,0,0,0,0,4,0.0,,0,Anthony,0.0,303,False,,,90.8,148225.jpg,6.2,Martial,16.8,False,,a,13,1,200,0,0,0,0,0.0,22.2,Martial,2625,17,9,14,27,0,0,1,1,0,0,14,544,855.6,439.3,1297.0,259.4,20.0,4.0,73.0,7.0,11.0,8.0,16.0,6.0
,,156689,0,0,0,0,0,3,0.0,,0,Andreas,0.0,304,False,,,50.599999999999994,156689.jpg,2.4,Pereira,0.1,False,,a,13,1,60,0,0,0,0,0.0,12.0,Pereira,1478,1,3,6,16,0,0,0,3,0,0,1,198,245.6,432.1,343.0,102.3,237.0,101.0,77.0,55.0,98.0,53.0,129.0,70.0
,,172649,0,0,0,0,0,1,0.0,,0,Dean,0.0,305,False,,,55.9,172649.jpg,4.4,Henderson,4.6,False,,a,13,1,160,0,0,0,0,0.0,29.1,Henderson,3240,0,1,13,33,0,1,0,2,0,97,16,688,718.8,10.0,18.0,74.8,46.0,10.0,337.0,8.0,315.0,1.0,186.0,9.0
,,176297,0,0,0,0,0,3,0.0,,0,Marcus,0.0,306,False,,,95.5,176297.jpg,5.7,Rashford,6.1,False,,a,13,1,177,0,0,0,0,0.0,18.6,Rashford,2645,17,8,9,29,0,0,2,3,0,0,31,665,887.0,563.7,1265.0,271.7,17.0,6.0,36.0,30.0,13.0,4.0,15.0,9.0
